textID,text,selected_text,sentiment
a8904c7fd6,that's no bueno...hope u feel better!,..hope u feel better!,positive
aeebeda0dd,twist cld u follow me ill love u forever,l love,positive
bf51b25919,&lt;-----bored to death,---bored to deat,negative
6fba4792dd,"morning all will be at Warner soon! lots to do, then go to school for some work... hope everyone has a great day!!!",.. hope everyone has a great day!!!,positive
5e9d3a1778,*bows* I try...sometimes it is hard,..sometimes it is hard,negative
6160c0dfa4,...hey danny .. did u run already ??? hope you have a good day ;) i love you !!!!,??    hope you have a good day ;)   i love,positive
c0b0c01f67,lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!,..they dont ever send me notices! just notices for other people to my address!,negative
871ca31b14,http://wave.google.com/ &lt;3 Google ... wish they'd spend a bit more time adding bits to Chrome though,.. wis,positive
e256f4abbd,aww but typing from beyond the grave...impressive,..impressive,positive
4e062b78f4,GREG D: You should have cried too :L You could have got through!! I still love you Greg. #BGT,l love,positive
c844602909,Hello ...hehe yup we sure do ...lovely to 'see' you ****,..lovely,positive
0acb5a4bae,How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely...I'm so sad,..I'm so sad,negative
4db40741fb,Late news then it's off for some much needed zzzzzzz.......Goodnight Tweets.,..Goodnight Tweets.,positive
4cfb2334e2,"If I am... so are U, my friend. HA! But the thing is... WE make old look GOOD!",.. WE make old look GOOD,positive
dd51596098,i saw a piece of that movie...loved it,..loved it,positive
3e8b248333,morning Newt...hope you are well!,..hope you are well!,positive
bc361e245e,Aw...poor thing.,..poor thing.,negative
1f311bcfef,&lt;3 KoRn... You guys are champions of the world,.. You guys are champions of the worl,positive
9eab958c17,Mama? you're the best thing that ever happen to me. thanks for everything &amp; and sorry for hurting you... I LOVE YOU! &lt;3,.. I,positive
028e06412c,buy yay for your shoot...hope it goes well! What is it for?,..hope,positive
7cf270ff72,yes........there are many cool things americans cannot watch,...there are many cool,positive
0510fad96f,"is anxiously awaiting Rockets-Lakers game ... Yes, I finally got Tix for Games 3 &amp; 4 .... Yeahhhhh",... Yeahhh,positive
a9bd246a79,its gonna be a beautiful day!,a beautiful day!,positive
1fd79e3de5,Just saw it tonight as well... Great movie!! Hope you're well mate! Cheers E,.. Grea,positive
d83fd6c942,3 tweeets {: FGS tweekdeckkk hates me -cryyyy,kk hates me  -cryy,negative
37a4e0eee7,hey we were doing the same thing this weekend! but it was for the kiddos...gotta love ikea,..gotta love ikea,positive
1440b11d65,thanks hun!! I'm working hard over here... thanks mama!! I yuhh you!!!,..  thanks,positive
5326ef93e6,"I know. I think I'm going to have to miss it, though. This is when sacrificing money for job happiness sucks ****.",s sucks,negative
7cad00677e,"Ahh Dave Canada isn't included That's okay, we still love ya! Let's get this!",l love,positive
db75031d55,I can remember those Evidence Based Management lectures...definitely the best of EBM,..definitely the best of EBM,positive
336b9cfc93,XDXDXD you crazy little thing why didnï¿½t you get off the train and hug me????,DXD you crazy little thing why didnï¿½t you get off the train and hug me???,neutral
a1ca634afc,1000 = make sure it has the word poo or balls in it Underbelly DOES suck balls... I gave up on it in wk 3.,.. I gave up on it,negative
